EncuestaID,RangoEdad,Genero,Departamento,FrecuenciaConsumoSnacks,SaborPreferido,Snack
729,18 - 24 Años,Masculino,Quetzaltenango,3 A 5 Veces Por Semana,Jalapeño,Caramel Goal Popcorn
730,25 - 34 Años,Femenino,Totonicapán,Todos Los Días,Dulce,Fan Chips Jalapeño
730,25 - 34 Años,Femenino,Totonicapán,Todos Los Días,Dulce,Caramel Goal Popcorn
730,25 - 34 Años,Femenino,Totonicapán,Todos Los Días,Dulce,Gol Nachos Supreme
731,35 - 44 Años,Femenino,Sacatepéquez,3 A 5 Veces Por Semana,Barbacoa,Caramel Goal Popcorn
731,35 - 44 Años,Femenino,Sacatepéquez,3 A 5 Veces Por Semana,Barbacoa,Crunchmax Bbq
732,25 - 34 Años,Femenino,Quetzaltenango,3 A 5 Veces Por Semana,Queso,Crunchmax Bbq
733,25 - 34 Años,Masculino,Guatemala,1 A 2 Veces Por Semana,Dulce,Futbolmix
733,25 - 34 Años,Masculino,Guatemala,1 A 2 Veces Por Semana,Dulce,Mundialitos Queso Picante
734,35 - 44 Años,Masculino,Guatemala,1 A 2 Veces Por Semana,Queso,Mundialitos Queso Picante
734,35 - 44 Años,Masculino,Guatemala,1 A 2 Veces Por Semana,Queso,Crunchmax Bbq
734,35 - 44 Años,Masculino,Guatemala,1 A 2 Veces Por Semana,Queso,Energy Crunch Protein
735,18 - 24 Años,Masculino,Sacatepéquez,3 A 5 Veces Por Semana,Limón,Energy Crunch Protein
735,18 - 24 Años,Masculino,Sacatepéquez,3 A 5 Veces Por Semana,Limón,Gol Nachos Supreme
735,18 - 24 Años,Masculino,Sacatepéquez,3 A 5 Veces Por Semana,Limón,Mundialitos Queso Picante
736,25 - 34 Años,Masculino,Guatemala,3 A 5 Veces Por Semana,Picante Chapín,Crunchmax Bbq
736,25 - 34 Años,Masculino,Guatemala,3 A 5 Veces Por Semana,Picante Chapín,Gol Nachos Supreme
736,25 - 34 Años,Masculino,Guatemala,3 A 5 Veces Por Semana,Picante Chapín,Caramel Goal Popcorn
737,25 - 34 Años,Masculino,San Marcos,3 A 5 Veces Por Semana,Limón,Gol Nachos Supreme
737,25 - 34 Años,Masculino,San Marcos,3 A 5 Veces Por Semana,Limón,Chocokick Bites
737,25 - 34 Años,Masculino,San Marcos,3 A 5 Veces Por Semana,Limón,Futbolmix
738,Menos De 18 Años,Masculino,Chimaltenango,1 A 2 Veces Por Semana,Dulce,Chocokick Bites
738,Menos De 18 Años,Masculino,Chimaltenango,1 A 2 Veces Por Semana,Dulce,Gol Nachos Supreme
738,Menos De 18 Años,Masculino,Chimaltenango,1 A 2 Veces Por Semana,Dulce,Caramel Goal Popcorn
739,35 - 44 Años,Femenino,Sacatepéquez,Todos Los Días,Salado Tradicional,Chocokick Bites
740,25 - 34 Años,Femenino,Quetzaltenango,3 A 5 Veces Por Semana,Salado Tradicional,Hot Stadium Peanuts
740,25 - 34 Años,Femenino,Quetzaltenango,3 A 5 Veces Por Semana,Salado Tradicional,Energy Crunch Protein
740,25 - 34 Años,Femenino,Quetzaltenango,3 A 5 Veces Por Semana,Salado Tradicional,Gol Nachos Supreme
741,45 - 54 Años,Masculino,Sacatepéquez,Varias Veces Al Mes,Picante Chapín,Gol Nachos Supreme
741,45 - 54 Años,Masculino,Sacatepéquez,Varias Veces Al Mes,Picante Chapín,Crunchmax Bbq
741,45 - 54 Años,Masculino,Sacatepéquez,Varias Veces Al Mes,Picante Chapín,Futbolmix
742,45 - 54 Años,Femenino,Escuintla,Todos Los Días,Dulce,Gol Nachos Supreme
742,45 - 54 Años,Femenino,Escuintla,Todos Los Días,Dulce,Mundialitos Queso Picante
743,35 - 44 Años,Femenino,Guatemala,1 A 2 Veces Por Semana,Queso,Futbolmix
744,35 - 44 Años,Masculino,Guatemala,3 A 5 Veces Por Semana,Queso,Crunchmax Bbq
744,35 - 44 Años,Masculino,Guatemala,3 A 5 Veces Por Semana,Queso,Chocokick Bites
744,35 - 44 Años,Masculino,Guatemala,3 A 5 Veces Por Semana,Queso,Caramel Goal Popcorn
745,18 - 24 Años,Masculino,Xela,1 A 2 Veces Por Semana,Limón,Mundialitos Queso Picante
745,18 - 24 Años,Masculino,Xela,1 A 2 Veces Por Semana,Limón,Gol Nachos Supreme
745,18 - 24 Años,Masculino,Xela,1 A 2 Veces Por Semana,Limón,Crunchmax Bbq
746,18 - 24 Años,Femenino,Guatemala,Varias Veces Al Mes,Jalapeño,Mundialitos Queso Picante
746,18 - 24 Años,Femenino,Guatemala,Varias Veces Al Mes,Jalapeño,Hot Stadium Peanuts
746,18 - 24 Años,Femenino,Guatemala,Varias Veces Al Mes,Jalapeño,Futbolmix
747,18 - 24 Años,Masculino,El Progreso,3 A 5 Veces Por Semana,Picante Chapín,Gol Nachos Supreme
748,25 - 34 Años,Prefiero No Indicarlo,Quetzaltenango,1 A 2 Veces Por Semana,Chocolate,Mundialitos Queso Picante
748,25 - 34 Años,Prefiero No Indicarlo,Quetzaltenango,1 A 2 Veces Por Semana,Chocolate,Fan Chips Jalapeño
749,25 - 34 Años,Femenino,Suchitepéquez,3 A 5 Veces Por Semana,Jalapeño,Fan Chips Jalapeño
749,25 - 34 Años,Femenino,Suchitepéquez,3 A 5 Veces Por Semana,Jalapeño,Gol Nachos Supreme
749,25 - 34 Años,Femenino,Suchitepéquez,3 A 5 Veces Por Semana,Jalapeño,Mundialitos Queso Picante
750,25 - 34 Años,Femenino,Sacatepéquez,Varias Veces Al Mes,Barbacoa,Mundialitos Queso Picante
750,25 - 34 Años,Femenino,Sacatepéquez,Varias Veces Al Mes,Barbacoa,Crunchmax Bbq
751,18 - 24 Años,Femenino,Santa Rosa,Rara Vez,Salado Tradicional,Crunchmax Bbq
751,18 - 24 Años,Femenino,Santa Rosa,Rara Vez,Salado Tradicional,Gol Nachos Supreme
752,35 - 44 Años,Masculino,Chimaltenango,3 A 5 Veces Por Semana,Salado Tradicional,Hot Stadium Peanuts
752,35 - 44 Años,Masculino,Chimaltenango,3 A 5 Veces Por Semana,Salado Tradicional,Crunchmax Bbq
753,18 - 24 Años,Femenino,Escuintla,Todos Los Días,Barbacoa,Crunchmax Bbq
753,18 - 24 Años,Femenino,Escuintla,Todos Los Días,Barbacoa,Gol Nachos Supreme
754,25 - 34 Años,Femenino,Guatemala,3 A 5 Veces Por Semana,Chocolate,Hot Stadium Peanuts
754,25 - 34 Años,Femenino,Guatemala,3 A 5 Veces Por Semana,Chocolate,Crunchmax Bbq
755,55 Años O Más,Masculino,Guatemala,1 A 2 Veces Por Semana,Salado Tradicional,Crunchmax Bbq
755,55 Años O Más,Masculino,Guatemala,1 A 2 Veces Por Semana,Salado Tradicional,Gol Nachos Supreme
755,55 Años O Más,Masculino,Guatemala,1 A 2 Veces Por Semana,Salado Tradicional,Mundialitos Queso Picante
756,25 - 34 Años,Masculino,Suchitepéquez,1 A 2 Veces Por Semana,Picante Chapín,Crunchmax Bbq
757,18 - 24 Años,Femenino,Chimaltenango,3 A 5 Veces Por Semana,Chocolate,Gol Nachos Supreme
757,18 - 24 Años,Femenino,Chimaltenango,3 A 5 Veces Por Semana,Chocolate,Fan Chips Jalapeño
757,18 - 24 Años,Femenino,Chimaltenango,3 A 5 Veces Por Semana,Chocolate,Chocokick Bites
758,35 - 44 Años,Femenino,Guatemala,Varias Veces Al Mes,Chocolate,Chocokick Bites
758,35 - 44 Años,Femenino,Guatemala,Varias Veces Al Mes,Chocolate,Gol Nachos Supreme
759,55 Años O Más,Femenino,Escuintla,Varias Veces Al Mes,Jalapeño,Crunchmax Bbq
759,55 Años O Más,Femenino,Escuintla,Varias Veces Al Mes,Jalapeño,Gol Nachos Supreme
759,55 Años O Más,Femenino,Escuintla,Varias Veces Al Mes,Jalapeño,Futbolmix
760,18 - 24 Años,Femenino,Guatemala,3 A 5 Veces Por Semana,Queso,Hot Stadium Peanuts
760,18 - 24 Años,Femenino,Guatemala,3 A 5 Veces Por Semana,Queso,Futbolmix
760,18 - 24 Años,Femenino,Guatemala,3 A 5 Veces Por Semana,Queso,Mundialitos Queso Picante
761,35 - 44 Años,Masculino,Huehuetenango,1 A 2 Veces Por Semana,Salado Tradicional,Gol Nachos Supreme
762,45 - 54 Años,Masculino,Guatemala,Todos Los Días,Caramelo,Gol Nachos Supreme
762,45 - 54 Años,Masculino,Guatemala,Todos Los Días,Caramelo,Crunchmax Bbq
762,45 - 54 Años,Masculino,Guatemala,Todos Los Días,Caramelo,Hot Stadium Peanuts
763,18 - 24 Años,Masculino,Guatemala,1 A 2 Veces Por Semana,Jalapeño,Futbolmix
763,18 - 24 Años,Masculino,Guatemala,1 A 2 Veces Por Semana,Jalapeño,Gol Nachos Supreme
763,18 - 24 Años,Masculino,Guatemala,1 A 2 Veces Por Semana,Jalapeño,Chocokick Bites
764,25 - 34 Años,Femenino,Quetzaltenango,Todos Los Días,Barbacoa,Fan Chips Jalapeño
764,25 - 34 Años,Femenino,Quetzaltenango,Todos Los Días,Barbacoa,Energy Crunch Protein
765,35 - 44 Años,Masculino,Guatemala,1 A 2 Veces Por Semana,Queso,Fan Chips Jalapeño
766,18 - 24 Años,Femenino,Alta Verapaz,Varias Veces Al Mes,Picante Chapín,Victory Pretzels
767,18 - 24 Años,Masculino,Jalapa,Varias Veces Al Mes,Queso,Hot Stadium Peanuts
767,18 - 24 Años,Masculino,Jalapa,Varias Veces Al Mes,Queso,Gol Nachos Supreme
768,35 - 44 Años,Femenino,Chimaltenango,1 A 2 Veces Por Semana,Queso,Caramel Goal Popcorn
769,25 - 34 Años,Femenino,Guatemala,3 A 5 Veces Por Semana,Jalapeño,Chocokick Bites
769,25 - 34 Años,Femenino,Guatemala,3 A 5 Veces Por Semana,Jalapeño,Futbolmix
769,25 - 34 Años,Femenino,Guatemala,3 A 5 Veces Por Semana,Jalapeño,Gol Nachos Supreme
770,25 - 34 Años,Masculino,Sacatepéquez,1 A 2 Veces Por Semana,Barbacoa,Gol Nachos Supreme
770,25 - 34 Años,Masculino,Sacatepéquez,1 A 2 Veces Por Semana,Barbacoa,Hot Stadium Peanuts
770,25 - 34 Años,Masculino,Sacatepéquez,1 A 2 Veces Por Semana,Barbacoa,Mundialitos Queso Picante
771,35 - 44 Años,Masculino,Guatemala,3 A 5 Veces Por Semana,Limón,Hot Stadium Peanuts
771,35 - 44 Años,Masculino,Guatemala,3 A 5 Veces Por Semana,Limón,Fan Chips Jalapeño
771,35 - 44 Años,Masculino,Guatemala,3 A 5 Veces Por Semana,Limón,Mundialitos Queso Picante
772,18 - 24 Años,Femenino,Guatemala,3 A 5 Veces Por Semana,Queso,Mundialitos Queso Picante
773,Menos De 18 Años,Masculino,Jutiapa,Todos Los Días,Dulce,Gol Nachos Supreme
774,35 - 44 Años,Masculino,Guatemala,1 A 2 Veces Por Semana,Limón,Mundialitos Queso Picante
774,35 - 44 Años,Masculino,Guatemala,1 A 2 Veces Por Semana,Limón,Gol Nachos Supreme
774,35 - 44 Años,Masculino,Guatemala,1 A 2 Veces Por Semana,Limón,Caramel Goal Popcorn
775,25 - 34 Años,Masculino,Baja Verapaz,3 A 5 Veces Por Semana,Limón,Mundialitos Queso Picante
776,25 - 34 Años,Masculino,Jutiapa,Todos Los Días,Barbacoa,Futbolmix
776,25 - 34 Años,Masculino,Jutiapa,Todos Los Días,Barbacoa,Fan Chips Jalapeño
776,25 - 34 Años,Masculino,Jutiapa,Todos Los Días,Barbacoa,Crunchmax Bbq
777,18 - 24 Años,Femenino,Guatemala,Rara Vez,Jalapeño,Crunchmax Bbq
778,18 - 24 Años,Femenino,Guatemala,Rara Vez,Limón,Futbolmix
778,18 - 24 Años,Femenino,Guatemala,Rara Vez,Limón,Mundialitos Queso Picante
779,18 - 24 Años,Masculino,Quetzaltenango,1 A 2 Veces Por Semana,Dulce,Futbolmix
779,18 - 24 Años,Masculino,Quetzaltenango,1 A 2 Veces Por Semana,Dulce,Crunchmax Bbq
779,18 - 24 Años,Masculino,Quetzaltenango,1 A 2 Veces Por Semana,Dulce,Chocokick Bites
780,18 - 24 Años,Masculino,Guatemala,Todos Los Días,Picante Chapín,Hot Stadium Peanuts
780,18 - 24 Años,Masculino,Guatemala,Todos Los Días,Picante Chapín,Fan Chips Jalapeño
780,18 - 24 Años,Masculino,Guatemala,Todos Los Días,Picante Chapín,Futbolmix
781,25 - 34 Años,Femenino,Guatemala,3 A 5 Veces Por Semana,Jalapeño,Chocokick Bites
781,25 - 34 Años,Femenino,Guatemala,3 A 5 Veces Por Semana,Jalapeño,Hot Stadium Peanuts
782,35 - 44 Años,Masculino,Retalhuleu,1 A 2 Veces Por Semana,Jalapeño,Mundialitos Queso Picante
783,35 - 44 Años,Masculino,Guatemala,Todos Los Días,Picante Chapín,Futbolmix
783,35 - 44 Años,Masculino,Guatemala,Todos Los Días,Picante Chapín,Hot Stadium Peanuts
784,18 - 24 Años,Masculino,Izabal,1 A 2 Veces Por Semana,Queso,Energy Crunch Protein
784,18 - 24 Años,Masculino,Izabal,1 A 2 Veces Por Semana,Queso,Fan Chips Jalapeño
785,25 - 34 Años,Masculino,Sacatepéquez,1 A 2 Veces Por Semana,Queso,Victory Pretzels
786,25 - 34 Años,Masculino,Baja Verapaz,Todos Los Días,Jalapeño,Crunchmax Bbq
786,25 - 34 Años,Masculino,Baja Verapaz,Todos Los Días,Jalapeño,Gol Nachos Supreme
786,25 - 34 Años,Masculino,Baja Verapaz,Todos Los Días,Jalapeño,Fan Chips Jalapeño
787,25 - 34 Años,Masculino,Sacatepéquez,3 A 5 Veces Por Semana,Queso,Victory Pretzels
788,18 - 24 Años,Femenino,Guatemala,1 A 2 Veces Por Semana,Barbacoa,Gol Nachos Supreme
788,18 - 24 Años,Femenino,Guatemala,1 A 2 Veces Por Semana,Barbacoa,Mundialitos Queso Picante
788,18 - 24 Años,Femenino,Guatemala,1 A 2 Veces Por Semana,Barbacoa,Energy Crunch Protein
789,Menos De 18 Años,Femenino,Sacatepéquez,Todos Los Días,Barbacoa,Mundialitos Queso Picante
789,Menos De 18 Años,Femenino,Sacatepéquez,Todos Los Días,Barbacoa,Chocokick Bites
789,Menos De 18 Años,Femenino,Sacatepéquez,Todos Los Días,Barbacoa,Futbolmix
790,18 - 24 Años,Masculino,Santa Rosa,3 A 5 Veces Por Semana,Queso,Gol Nachos Supreme
790,18 - 24 Años,Masculino,Santa Rosa,3 A 5 Veces Por Semana,Queso,Futbolmix
791,25 - 34 Años,Masculino,Guatemala,Todos Los Días,Picante Chapín,Mundialitos Queso Picante
791,25 - 34 Años,Masculino,Guatemala,Todos Los Días,Picante Chapín,Energy Crunch Protein
792,35 - 44 Años,Femenino,Chimaltenango,1 A 2 Veces Por Semana,Caramelo,Gol Nachos Supreme
792,35 - 44 Años,Femenino,Chimaltenango,1 A 2 Veces Por Semana,Caramelo,Fan Chips Jalapeño
793,Menos De 18 Años,Masculino,Sacatepéquez,Todos Los Días,Queso,Victory Pretzels
793,Menos De 18 Años,Masculino,Sacatepéquez,Todos Los Días,Queso,Caramel Goal Popcorn
793,Menos De 18 Años,Masculino,Sacatepéquez,Todos Los Días,Queso,Fan Chips Jalapeño
794,25 - 34 Años,Femenino,Guatemala,3 A 5 Veces Por Semana,Chocolate,Fan Chips Jalapeño
794,25 - 34 Años,Femenino,Guatemala,3 A 5 Veces Por Semana,Chocolate,Gol Nachos Supreme
795,35 - 44 Años,Masculino,Chimaltenango,1 A 2 Veces Por Semana,Limón,Hot Stadium Peanuts
796,25 - 34 Años,Masculino,Quetzaltenango,1 A 2 Veces Por Semana,Picante Chapín,Mundialitos Queso Picante
797,25 - 34 Años,Masculino,Quiché,3 A 5 Veces Por Semana,Barbacoa,Gol Nachos Supreme
798,45 - 54 Años,Masculino,Guatemala,1 A 2 Veces Por Semana,Salado Tradicional,Gol Nachos Supreme
798,45 - 54 Años,Masculino,Guatemala,1 A 2 Veces Por Semana,Salado Tradicional,Fan Chips Jalapeño
799,Menos De 18 Años,Femenino,Guatemala,3 A 5 Veces Por Semana,Jalapeño,Caramel Goal Popcorn
800,25 - 34 Años,Masculino,Guatemala,Todos Los Días,Limón,Fan Chips Jalapeño
800,25 - 34 Años,Masculino,Guatemala,Todos Los Días,Limón,Gol Nachos Supreme
801,18 - 24 Años,Femenino,Sacatepéquez,Varias Veces Al Mes,Barbacoa,Crunchmax Bbq
801,18 - 24 Años,Femenino,Sacatepéquez,Varias Veces Al Mes,Barbacoa,Mundialitos Queso Picante
801,18 - 24 Años,Femenino,Sacatepéquez,Varias Veces Al Mes,Barbacoa,Caramel Goal Popcorn
802,Menos De 18 Años,Femenino,Sacatepéquez,Varias Veces Al Mes,Queso,Mundialitos Queso Picante
802,Menos De 18 Años,Femenino,Sacatepéquez,Varias Veces Al Mes,Queso,Victory Pretzels
802,Menos De 18 Años,Femenino,Sacatepéquez,Varias Veces Al Mes,Queso,Crunchmax Bbq
803,18 - 24 Años,Masculino,Escuintla,Todos Los Días,Picante Chapín,Energy Crunch Protein
803,18 - 24 Años,Masculino,Escuintla,Todos Los Días,Picante Chapín,Mundialitos Queso Picante
804,45 - 54 Años,Masculino,Quetzaltenango,3 A 5 Veces Por Semana,Queso,Crunchmax Bbq
805,25 - 34 Años,Femenino,Escuintla,1 A 2 Veces Por Semana,Picante Chapín,Mundialitos Queso Picante
806,25 - 34 Años,Masculino,Huehuetenango,Todos Los Días,Chocolate,Fan Chips Jalapeño
806,25 - 34 Años,Masculino,Huehuetenango,Todos Los Días,Chocolate,Chocokick Bites
806,25 - 34 Años,Masculino,Huehuetenango,Todos Los Días,Chocolate,Mundialitos Queso Picante
807,18 - 24 Años,Femenino,Sacatepéquez,3 A 5 Veces Por Semana,Jalapeño,Futbolmix
807,18 - 24 Años,Femenino,Sacatepéquez,3 A 5 Veces Por Semana,Jalapeño,Gol Nachos Supreme
807,18 - 24 Años,Femenino,Sacatepéquez,3 A 5 Veces Por Semana,Jalapeño,Caramel Goal Popcorn
808,35 - 44 Años,Masculino,Baja Verapaz,Todos Los Días,Queso,Futbolmix
809,25 - 34 Años,Femenino,Guatemala,Rara Vez,Caramelo,Chocokick Bites
809,25 - 34 Años,Femenino,Guatemala,Rara Vez,Caramelo,Energy Crunch Protein
810,18 - 24 Años,Femenino,Quetzaltenango,1 A 2 Veces Por Semana,Picante Chapín,Crunchmax Bbq
810,18 - 24 Años,Femenino,Quetzaltenango,1 A 2 Veces Por Semana,Picante Chapín,Hot Stadium Peanuts
811,18 - 24 Años,Masculino,Sacatepéquez,3 A 5 Veces Por Semana,Limón,Caramel Goal Popcorn
811,18 - 24 Años,Masculino,Sacatepéquez,3 A 5 Veces Por Semana,Limón,Gol Nachos Supreme
812,55 Años O Más,Masculino,Guatemala,3 A 5 Veces Por Semana,Limón,Chocokick Bites
812,55 Años O Más,Masculino,Guatemala,3 A 5 Veces Por Semana,Limón,Caramel Goal Popcorn
812,55 Años O Más,Masculino,Guatemala,3 A 5 Veces Por Semana,Limón,Futbolmix
813,18 - 24 Años,Masculino,Suchitepéquez,Todos Los Días,Chocolate,Crunchmax Bbq
813,18 - 24 Años,Masculino,Suchitepéquez,Todos Los Días,Chocolate,Chocokick Bites
814,18 - 24 Años,Masculino,Huehuetenango,1 A 2 Veces Por Semana,Chocolate,Fan Chips Jalapeño
814,18 - 24 Años,Masculino,Huehuetenango,1 A 2 Veces Por Semana,Chocolate,Chocokick Bites
814,18 - 24 Años,Masculino,Huehuetenango,1 A 2 Veces Por Semana,Chocolate,Futbolmix
815,25 - 34 Años,Masculino,Escuintla,3 A 5 Veces Por Semana,Barbacoa,Chocokick Bites
816,18 - 24 Años,Prefiero No Indicarlo,Guatemala,1 A 2 Veces Por Semana,Queso,Crunchmax Bbq
816,18 - 24 Años,Prefiero No Indicarlo,Guatemala,1 A 2 Veces Por Semana,Queso,Mundialitos Queso Picante
817,25 - 34 Años,Femenino,El Progreso,1 A 2 Veces Por Semana,Salado Tradicional,Energy Crunch Protein
817,25 - 34 Años,Femenino,El Progreso,1 A 2 Veces Por Semana,Salado Tradicional,Fan Chips Jalapeño
817,25 - 34 Años,Femenino,El Progreso,1 A 2 Veces Por Semana,Salado Tradicional,Futbolmix
818,25 - 34 Años,Femenino,Guatemala,1 A 2 Veces Por Semana,Picante Chapín,Chocokick Bites
818,25 - 34 Años,Femenino,Guatemala,1 A 2 Veces Por Semana,Picante Chapín,Mundialitos Queso Picante
818,25 - 34 Años,Femenino,Guatemala,1 A 2 Veces Por Semana,Picante Chapín,Fan Chips Jalapeño
819,25 - 34 Años,Femenino,Sacatepéquez,Varias Veces Al Mes,Barbacoa,Fan Chips Jalapeño
819,25 - 34 Años,Femenino,Sacatepéquez,Varias Veces Al Mes,Barbacoa,Crunchmax Bbq
819,25 - 34 Años,Femenino,Sacatepéquez,Varias Veces Al Mes,Barbacoa,Caramel Goal Popcorn
820,25 - 34 Años,Femenino,Baja Verapaz,3 A 5 Veces Por Semana,Jalapeño,Mundialitos Queso Picante
821,45 - 54 Años,Masculino,Chimaltenango,Todos Los Días,Queso,Fan Chips Jalapeño
822,18 - 24 Años,Masculino,Chimaltenango,Varias Veces Al Mes,Chocolate,Hot Stadium Peanuts
822,18 - 24 Años,Masculino,Chimaltenango,Varias Veces Al Mes,Chocolate,Crunchmax Bbq
822,18 - 24 Años,Masculino,Chimaltenango,Varias Veces Al Mes,Chocolate,Fan Chips Jalapeño
823,25 - 34 Años,Masculino,Guatemala,Varias Veces Al Mes,Picante Chapín,Mundialitos Queso Picante
824,45 - 54 Años,Femenino,Quetzaltenango,Todos Los Días,Barbacoa,Caramel Goal Popcorn
825,25 - 34 Años,Femenino,Guatemala,Rara Vez,Limón,Victory Pretzels
826,25 - 34 Años,Masculino,Suchitepéquez,3 A 5 Veces Por Semana,Queso,Gol Nachos Supreme
827,35 - 44 Años,Femenino,Jalapa,1 A 2 Veces Por Semana,Barbacoa,Energy Crunch Protein
827,35 - 44 Años,Femenino,Jalapa,1 A 2 Veces Por Semana,Barbacoa,Chocokick Bites
828,35 - 44 Años,Masculino,Zacapa,3 A 5 Veces Por Semana,Picante Chapín,Hot Stadium Peanuts
828,35 - 44 Años,Masculino,Zacapa,3 A 5 Veces Por Semana,Picante Chapín,Mundialitos Queso Picante
828,35 - 44 Años,Masculino,Zacapa,3 A 5 Veces Por Semana,Picante Chapín,Futbolmix
829,25 - 34 Años,Masculino,Santa Rosa,3 A 5 Veces Por Semana,Barbacoa,Caramel Goal Popcorn
830,18 - 24 Años,Femenino,Izabal,Varias Veces Al Mes,Picante Chapín,Chocokick Bites
830,18 - 24 Años,Femenino,Izabal,Varias Veces Al Mes,Picante Chapín,Victory Pretzels
830,18 - 24 Años,Femenino,Izabal,Varias Veces Al Mes,Picante Chapín,Fan Chips Jalapeño
831,Menos De 18 Años,Femenino,Chiquimula,3 A 5 Veces Por Semana,Barbacoa,Gol Nachos Supreme
831,Menos De 18 Años,Femenino,Chiquimula,3 A 5 Veces Por Semana,Barbacoa,Victory Pretzels
832,35 - 44 Años,Femenino,Sololá,1 A 2 Veces Por Semana,Chocolate,Futbolmix
832,35 - 44 Años,Femenino,Sololá,1 A 2 Veces Por Semana,Chocolate,Victory Pretzels
833,25 - 34 Años,Masculino,Guatemala,3 A 5 Veces Por Semana,Queso,Fan Chips Jalapeño
833,25 - 34 Años,Masculino,Guatemala,3 A 5 Veces Por Semana,Queso,Crunchmax Bbq
833,25 - 34 Años,Masculino,Guatemala,3 A 5 Veces Por Semana,Queso,Mundialitos Queso Picante
834,45 - 54 Años,Masculino,Chiquimula,3 A 5 Veces Por Semana,Barbacoa,Mundialitos Queso Picante
834,45 - 54 Años,Masculino,Chiquimula,3 A 5 Veces Por Semana,Barbacoa,Chocokick Bites
834,45 - 54 Años,Masculino,Chiquimula,3 A 5 Veces Por Semana,Barbacoa,Hot Stadium Peanuts
835,35 - 44 Años,Femenino,Chimaltenango,1 A 2 Veces Por Semana,Queso,Futbolmix
835,35 - 44 Años,Femenino,Chimaltenango,1 A 2 Veces Por Semana,Queso,Fan Chips Jalapeño
836,35 - 44 Años,Masculino,Sacatepéquez,Todos Los Días,Barbacoa,Chocokick Bites
836,35 - 44 Años,Masculino,Sacatepéquez,Todos Los Días,Barbacoa,Gol Nachos Supreme
837,25 - 34 Años,Femenino,Guatemala,Varias Veces Al Mes,Barbacoa,Fan Chips Jalapeño
837,25 - 34 Años,Femenino,Guatemala,Varias Veces Al Mes,Barbacoa,Energy Crunch Protein
837,25 - 34 Años,Femenino,Guatemala,Varias Veces Al Mes,Barbacoa,Gol Nachos Supreme
838,35 - 44 Años,Masculino,Guatemala,Todos Los Días,Queso,Energy Crunch Protein
838,35 - 44 Años,Masculino,Guatemala,Todos Los Días,Queso,Mundialitos Queso Picante
839,25 - 34 Años,Femenino,Jutiapa,3 A 5 Veces Por Semana,Barbacoa,Chocokick Bites
839,25 - 34 Años,Femenino,Jutiapa,3 A 5 Veces Por Semana,Barbacoa,Gol Nachos Supreme
839,25 - 34 Años,Femenino,Jutiapa,3 A 5 Veces Por Semana,Barbacoa,Mundialitos Queso Picante
840,18 - 24 Años,Femenino,Guatemala,1 A 2 Veces Por Semana,Chocolate,Chocokick Bites
840,18 - 24 Años,Femenino,Guatemala,1 A 2 Veces Por Semana,Chocolate,Fan Chips Jalapeño
840,18 - 24 Años,Femenino,Guatemala,1 A 2 Veces Por Semana,Chocolate,Gol Nachos Supreme
841,35 - 44 Años,Masculino,Guatemala,1 A 2 Veces Por Semana,Limón,Futbolmix
841,35 - 44 Años,Masculino,Guatemala,1 A 2 Veces Por Semana,Limón,Mundialitos Queso Picante
841,35 - 44 Años,Masculino,Guatemala,1 A 2 Veces Por Semana,Limón,Hot Stadium Peanuts
842,25 - 34 Años,Femenino,Chimaltenango,1 A 2 Veces Por Semana,Queso,Crunchmax Bbq
843,35 - 44 Años,Femenino,Sacatepéquez,Varias Veces Al Mes,Queso,Hot Stadium Peanuts
844,35 - 44 Años,Masculino,El Progreso,3 A 5 Veces Por Semana,Limón,Mundialitos Queso Picante
844,35 - 44 Años,Masculino,El Progreso,3 A 5 Veces Por Semana,Limón,Futbolmix
845,18 - 24 Años,Masculino,Sacatepéquez,Todos Los Días,Barbacoa,Chocokick Bites
845,18 - 24 Años,Masculino,Sacatepéquez,Todos Los Días,Barbacoa,Fan Chips Jalapeño
846,18 - 24 Años,Masculino,Guatemala,3 A 5 Veces Por Semana,Jalapeño,Mundialitos Queso Picante
847,25 - 34 Años,Masculino,Guatemala,1 A 2 Veces Por Semana,Chocolate,Mundialitos Queso Picante
848,18 - 24 Años,Femenino,Guatemala,Todos Los Días,Jalapeño,Crunchmax Bbq
848,18 - 24 Años,Femenino,Guatemala,Todos Los Días,Jalapeño,Mundialitos Queso Picante
849,25 - 34 Años,Masculino,Totonicapán,3 A 5 Veces Por Semana,Dulce,Gol Nachos Supreme
850,25 - 34 Años,Masculino,Guatemala,1 A 2 Veces Por Semana,Limón,Futbolmix
850,25 - 34 Años,Masculino,Guatemala,1 A 2 Veces Por Semana,Limón,Crunchmax Bbq
850,25 - 34 Años,Masculino,Guatemala,1 A 2 Veces Por Semana,Limón,Hot Stadium Peanuts
851,18 - 24 Años,Femenino,Escuintla,3 A 5 Veces Por Semana,Jalapeño,Mundialitos Queso Picante
851,18 - 24 Años,Femenino,Escuintla,3 A 5 Veces Por Semana,Jalapeño,Futbolmix
852,25 - 34 Años,Femenino,Guatemala,Todos Los Días,Limón,Fan Chips Jalapeño
852,25 - 34 Años,Femenino,Guatemala,Todos Los Días,Limón,Chocokick Bites
852,25 - 34 Años,Femenino,Guatemala,Todos Los Días,Limón,Mundialitos Queso Picante
