EncuestaID,FechaEncuesta,HoraEncuesta,RangoEdad,Genero,Departamento,Municipio,Ocupacion,FrecuenciaConsumoSnacks,LugarCompraSnacks,ConQuienVePartidos,GastoSnacksPartido,SnacksSeleccionados,SaborPreferido,PresentacionPreferida,PrecioAdecuado,PagaMasEdicionMundial,PlaneaVerMundial2026,SeleccionApoya,CompraDisenoSeleccion,SeleccionInfluyeCompra,JugadoresInfluyentes,TipoPublicidadAtractiva,PromocionPreferida,CompraTarjetasColeccionables,CampaniaMasProbableCompra,Disposicion_Gasto_Premium,Segmento_Lealtad_Mundial,Segmento_Edad_Analitico
434,2026-03-30,15:07:11,18 - 24 Años,Femenino,Chimaltenango,Patzún,Empleado Público,Rara Vez,Gasolinera,Otro,Menos De Q25,Energy Crunch Protein; Gol Nachos Supreme,Picante Chapín,Para Compartir Entre 2 Personas,Q10 - Q15,Sí,Sí,Argentina,Tal vez,Francia,Vinícius Júnior; Lamine Yamal; Rodri,Historias de aficionados,2x1,Sí,Edición Brasil,Moderada,Casual,Jóvenes (<25)
435,2026-01-12,13:42:23,25 - 34 Años,Masculino,Guatemala,Mixco,Empleado Privado,1 A 2 Veces Por Semana,Supermercado,Compañeros de trabajo,Menos De Q25,Victory Pretzels; Fan Chips Jalapeño,Picante Chapín,Familiar,Menos De Q10,No,Sí,Colombia,Definitivamente sí,Brasil,Vinícius Júnior,Premios y sorteos,2x1,Sí,Edición Francia,Sensible Al Precio,Casual,Adulto Joven (25-34)
436,2026-02-14,11:55:50,55 Años O Más,Femenino,Quetzaltenango,Olintepeque,Empleado Privado,Todos Los Días,Tienda de barrio,Familia,Q25 - Q50,Fan Chips Jalapeño; Mundialitos Queso Picante,Dulce,Familiar,Q10 - Q15,No,Sí,México,Tal vez,México,Cristiano Ronaldo; Lionel Messi; Kylian Mbappé,Una selección nacional,2x1,Sí,Edición Mundial Fifa 2026,Moderada,Casual,Adulto Mayor (55+)
437,2026-04-21,19:49:26,55 Años O Más,Masculino,Baja Verapaz,Cabecera municipal,Comerciante,1 A 2 Veces Por Semana,Tienda de barrio,Familia,Q25 - Q50,CrunchMax BBQ; Energy Crunch Protein,Queso,Familiar,Q16 - Q20,No,Sí,Estados Unidos,Definitivamente no,Brasil,Jude Bellingham; Lionel Messi,Historias de aficionados,Tarjetas coleccionables,Sí,Edición Con Jugadores Famosos,Moderada,Casual,Adulto Mayor (55+)
438,2026-02-03,17:53:46,55 Años O Más,Masculino,Guatemala,San Miguel Petapa,Empleado Privado,3 A 5 Veces Por Semana,Kiosco escolar/universitario,Familia,Q51 - Q100,Caramel Goal Popcorn,Jalapeño,Familiar,Q10 - Q15,No,Sí,Colombia,Probablemente sí,Brasil,Lionel Messi; Vinícius Júnior,Un jugador famoso,Descuento directo,No,Edición Brasil,Moderada,Casual,Adulto Mayor (55+)
439,2026-04-24,19:40:32,18 - 24 Años,Femenino,Escuintla,Santa Lucía Cotzumalguapa,Empresario,1 A 2 Veces Por Semana,Tienda de barrio,Solo,Q51 - Q100,Gol Nachos Supreme,Dulce,Familiar,Q21 - Q30,Sí,Sí,México,Definitivamente no,Portugal,Neymar Jr.; Jude Bellingham; Christian Pulisic,Premios y sorteos,Sorteo de balones,Sí,Edición Francia,Premium Alta,Casual,Jóvenes (<25)
440,2026-01-22,10:58:02,18 - 24 Años,Masculino,Guatemala,San Miguel Petapa,Empleado Privado,Varias Veces Al Mes,Tienda de barrio,Amigos,Q25 - Q50,Gol Nachos Supreme; Caramel Goal Popcorn,Jalapeño,Individual,Q21 - Q30,No,No,Inglaterra,Probablemente sí,Portugal,Lamine Yamal; Neymar Jr.,Premios y sorteos,2x1,Sí,Edición Argentina,Moderada,Espectador Pasivo,Jóvenes (<25)
441,2026-02-03,12:16:19,25 - 34 Años,Masculino,Baja Verapaz,Otro municipio,Ama De Casa,1 A 2 Veces Por Semana,Tienda de barrio,Familia,Q101 - Q150,CrunchMax BBQ; Fan Chips Jalapeño,Limón,Tamaño Fiesta O Reunión,Q21 - Q30,Sí,Sí,España,Probablemente sí,México,Rodri; Jude Bellingham,Premios y sorteos,Producto gratis,Sí,Edición Argentina,Moderada,Fanático Target (Alto),Adulto Joven (25-34)
442,2026-01-23,13:04:23,25 - 34 Años,Femenino,Guatemala,San Miguel Petapa,Empleado Privado,3 A 5 Veces Por Semana,Gasolinera,Familia,Menos De Q25,Energy Crunch Protein; Gol Nachos Supreme; Caramel Goal Popcorn,Jalapeño,Familiar,Q16 - Q20,No,Sí,Portugal,Probablemente sí,México,Cristiano Ronaldo; Lionel Messi,Premios y sorteos,Producto gratis,No,Edición Mundial Fifa 2026,Sensible Al Precio,Casual,Adulto Joven (25-34)
443,2026-03-27,13:39:41,25 - 34 Años,Masculino,Jalapa,Otro municipio,Estudiante,Rara Vez,Tienda de barrio,Amigos,Q25 - Q50,Energy Crunch Protein; CrunchMax BBQ; Gol Nachos Supreme,Barbacoa,Familiar,Q10 - Q15,Sí,Sí,México,Tal vez,Colombia,Neymar Jr.; Kylian Mbappé,Una selección nacional,Tarjetas coleccionables,Sí,Edición Con Jugadores Famosos,Moderada,Casual,Adulto Joven (25-34)
444,2026-03-21,15:23:49,25 - 34 Años,Femenino,San Marcos,San Marcos,Empleado Privado,3 A 5 Veces Por Semana,Supermercado,Familia,Menos De Q25,FutbolMix,Barbacoa,Para Compartir Entre 2 Personas,Q21 - Q30,No,Sí,España,Definitivamente no, ARGENTINA ,Christian Pulisic; Lionel Messi; Lamine Yamal,Un jugador famoso,Tarjetas coleccionables,No,Edición Francia,Sensible Al Precio,Espectador Pasivo,Adulto Joven (25-34)
445,2026-03-26,10:56:09,25 - 34 Años,Femenino,Escuintla,Palín,Empleado Privado,Rara Vez,Tienda de barrio,Otro,Q25 - Q50,CrunchMax BBQ; Gol Nachos Supreme,Barbacoa,Tamaño Fiesta O Reunión,Q21 - Q30,No,Sí,Brasil,Tal vez,Argentina,Kylian Mbappé,Humor,Descuento directo,No,Edición Brasil,Moderada,Espectador Pasivo,Adulto Joven (25-34)
446,2026-05-01,15:55:51,45 - 54 Años,Femenino,Escuintla,Palín,Ama De Casa,Rara Vez,Otro,Amigos,Q51 - Q100,CrunchMax BBQ,Dulce,Familiar,Q10 - Q15,Sí,Sí,México,Probablemente no, ARGENTINA ,Lionel Messi; Kylian Mbappé,Un jugador famoso,Sorteo de camisetas,Sí,Edición Mundial Fifa 2026,Premium Alta,Casual,Adulto Maduro (35-54)
447,2026-04-16,17:52:38,25 - 34 Años,Masculino,Guatemala,Santa Catarina Pinula,Empleado Público,Todos Los Días,Tienda de barrio,Familia,Menos De Q25,CrunchMax BBQ; Gol Nachos Supreme,Dulce,Individual,Más De Q30,Sí,Sí,Argentina,Definitivamente sí,South Africa,Neymar Jr.; Kylian Mbappé,Premios y sorteos,Sorteo de balones,Sí,Edición Argentina,Moderada,Casual,Adulto Joven (25-34)
448,2026-01-31,07:37:22,25 - 34 Años,Femenino,Escuintla,Escuintla,Empleado Privado,Todos Los Días,Otro,Familia,Q25 - Q50,Mundialitos Queso Picante,Jalapeño,Para Compartir Entre 2 Personas,Q10 - Q15,No,Sí,Francia,Definitivamente sí, BRASIL ,Cristiano Ronaldo; Lionel Messi,Un jugador famoso,Sorteo de balones,No,Edición Brasil,Moderada,Espectador Pasivo,Adulto Joven (25-34)
449,2026-03-14,18:45:18,25 - 34 Años,Femenino,Alta Verapaz,Cabecera municipal,Empleado Privado,3 A 5 Veces Por Semana,Kiosco escolar/universitario,Amigos,Q51 - Q100,FutbolMix; Fan Chips Jalapeño,Queso,Para Compartir Entre 2 Personas,Q16 - Q20,Sí,Sí,Argentina,Definitivamente sí,México,Lionel Messi,Un jugador famoso,Sorteo de viajes,Sí,Edición Argentina,Premium Alta,Casual,Adulto Joven (25-34)
1193,2026-04-04,22:35:00,25 - 34 Años,Masculino,Sacatepéquez,Sumpango,Empleado Privado,Todos Los Días,Supermercado,Familia,Q25 - Q50,Mundialitos Queso Picante; Caramel Goal Popcorn,Jalapeño,Individual,Menos De Q10,Sí,Sí,Suecia,Tal vez,Francia,Vinícius Júnior; Cristiano Ronaldo,Historias de aficionados,Producto gratis,No,Edición España,Moderada,Espectador Pasivo,Adulto Joven (25-34)
451,2026-04-22,09:07:08,18 - 24 Años,Masculino,Guatemala,Guatemala,,Todos Los Días,Kiosco escolar/universitario,Otro,Q51 - Q100,Gol Nachos Supreme; Victory Pretzels; CrunchMax BBQ,Chocolate,Tamaño Fiesta O Reunión,Q10 - Q15,Sí,Sí,España,Probablemente sí,España,Lionel Messi,Historias de aficionados,Producto gratis,Sí,Edición España,Premium Alta,Fanático Target (Alto),Jóvenes (<25)
452,2026-02-23,22:42:06,18 - 24 Años,Masculino,Suchitepéquez,Otro municipio,Comerciante,3 A 5 Veces Por Semana,Gasolinera,Familia,Q51 - Q100,FutbolMix,Salado Tradicional,Familiar,Q10 - Q15,Sí,Sí,México,Definitivamente sí,México,Jude Bellingham; Lamine Yamal,Una selección nacional,Descuento directo,Sí,Edición Francia,Premium Alta,Casual,Jóvenes (<25)
453,2026-03-24,22:39:48,25 - 34 Años,Masculino,Quiché,Cabecera municipal,Comerciante,Rara Vez,Supermercado,Familia,Q25 - Q50,CrunchMax BBQ; Gol Nachos Supreme; Fan Chips Jalapeño,Caramelo,Individual,Q16 - Q20,Sí,Sí,México,Tal vez,Argentina,Lamine Yamal; Cristiano Ronaldo,Una selección nacional,Descuento directo,No,Edición Francia,Moderada,Espectador Pasivo,Adulto Joven (25-34)
454,2026-03-29,22:02:16,45 - 54 Años,Femenino,Petén,San Benito,Empleado Privado,Rara Vez,Supermercado,Amigos,Q101 - Q150,Hot Stadium Peanuts; ChocoKick Bites,Queso,Familiar,Q10 - Q15,Sí,Sí,Estados Unidos,Probablemente sí,Estados Unidos,Neymar Jr.; Vinícius Júnior,Una selección nacional,Sorteo de viajes,No,Edición Mundial Fifa 2026,Moderada,Casual,Adulto Maduro (35-54)
455,2026-03-21,21:14:00,25 - 34 Años,Femenino,Guatemala,Mixco,Estudiante,Varias Veces Al Mes,Supermercado,Familia,Q51 - Q100,Mundialitos Queso Picante,Limón,Individual,Q21 - Q30,No,Sí,Portugal,Probablemente sí,Suiza,Vinícius Júnior,Un jugador famoso,2x1,Sí,Edición Francia,Moderada,Fanático Target (Alto),Adulto Joven (25-34)
456,2026-02-15,21:46:33,25 - 34 Años,Femenino,Guatemala,Santa Catarina Pinula,Empleado Público,1 A 2 Veces Por Semana,Tienda de barrio,Amigos,Q101 - Q150,FutbolMix; Caramel Goal Popcorn; CrunchMax BBQ,Queso,Para Compartir Entre 2 Personas,Menos De Q10,No,Sí,Brasil,Tal vez,México,Cristiano Ronaldo,Un jugador famoso,2x1,Sí,Edición Mundial Fifa 2026,Sensible Al Precio,Casual,Adulto Joven (25-34)
457,2026-03-26,18:44:31,55 Años O Más,Masculino,Guatemala, GUATEMALA ,Jubilado,Varias Veces Al Mes,Tienda de barrio,Amigos,Q101 - Q150,CrunchMax BBQ; Hot Stadium Peanuts,Queso,Para Compartir Entre 2 Personas,Q21 - Q30,No,Sí,Escocia,Definitivamente sí,Uruguay,Federico Valverde; Cristiano Ronaldo; Christian Pulisic,Humor,Sorteo de viajes,No,Edición Argentina,Sensible Al Precio,Espectador Pasivo,Adulto Mayor (55+)
458,2026-05-03,15:01:57,25 - 34 Años,Femenino,Guatemala,Santa Catarina Pinula,Estudiante,Varias Veces Al Mes,Otro,Amigos,Q101 - Q150,ChocoKick Bites,Salado Tradicional,Familiar,Q10 - Q15,Sí,Sí, MÉXICO ,Definitivamente sí,Argentina,Vinícius Júnior; Lionel Messi; Cristiano Ronaldo,Un jugador famoso,Sorteo de balones,No,Edición Argentina,Moderada,Espectador Pasivo,Adulto Joven (25-34)
459,2026-01-12,10:55:11,35 - 44 Años,Masculino,Quetzaltenango, QUETZALTENANGO ,Empleado Público,Todos Los Días,Gasolinera,Amigos,Q101 - Q150,Victory Pretzels; Mundialitos Queso Picante; Gol Nachos Supreme,Chocolate,Familiar,Q16 - Q20,No,Sí,Alemania,Probablemente sí,Francia,Vinícius Júnior,Un jugador famoso,Sorteo de viajes,Sí,Edición Mundial Fifa 2026,Sensible Al Precio,Fanático Target (Alto),Adulto Maduro (35-54)
460,2026-02-05,11:35:44,25 - 34 Años,Femenino,Quiché,Cabecera municipal,Otro,Todos Los Días,Tienda de barrio,Familia,Q101 - Q150,FutbolMix,Picante Chapín,Para Compartir Entre 2 Personas,Q21 - Q30,No,Sí,Alemania,Definitivamente sí,Brasil,Julián Álvarez; Cristiano Ronaldo,Un jugador famoso,Descuento directo,No,Edición Mundial Fifa 2026,Sensible Al Precio,Espectador Pasivo,Adulto Joven (25-34)
461,2026-01-13,13:08:47,Menos De 18 Años,Femenino,Retalhuleu,Otro municipio,Estudiante,Todos Los Días,Tienda de barrio,Amigos,Q25 - Q50,Mundialitos Queso Picante; Gol Nachos Supreme,Barbacoa,Para Compartir Entre 2 Personas,Q16 - Q20,Sí,Sí,Brasil,Tal vez,Canadá,Cristiano Ronaldo,Historias de aficionados,Producto gratis,Sí,Edición Con Tarjetas Coleccionables,Moderada,Casual,Jóvenes (<25)
462,2026-05-07,14:33:50,25 - 34 Años,Femenino,Sacatepéquez,Jocotenango,Ama De Casa,3 A 5 Veces Por Semana,Tienda de barrio,Otro,Menos De Q25,Mundialitos Queso Picante; Gol Nachos Supreme; CrunchMax BBQ,Queso,Individual,Q10 - Q15,No,Sí,Inglaterra,Tal vez,México,Cristiano Ronaldo,Historias de aficionados,Descuento directo,Sí,Edición Argentina,Sensible Al Precio,Casual,Adulto Joven (25-34)
463,2026-04-15,09:59:57,25 - 34 Años,Masculino,Guatemala,San Miguel Petapa,Comerciante,1 A 2 Veces Por Semana,Supermercado,Familia,Menos De Q25,ChocoKick Bites,Chocolate,Familiar,Q10 - Q15,Sí,Sí,Estados Unidos,Probablemente sí,España,Neymar Jr.; Julián Álvarez,Un jugador famoso,Sorteo de viajes,Sí,Edición Brasil,Moderada,Fanático Target (Alto),Adulto Joven (25-34)
1049,2026-02-06,22:38:59,25 - 34 Años,Masculino,Sacatepéquez,Antigua Guatemala,Empleado Privado,3 A 5 Veces Por Semana,Supermercado,Familia,Q25 - Q50,ChocoKick Bites; Caramel Goal Popcorn,Picante Chapín,Tamaño Fiesta O Reunión,Q21 - Q30,Sí,Sí,Brasil,Definitivamente sí,Japón,Neymar Jr.,Humor,Sorteo de balones,No,Edición Francia,Moderada,Espectador Pasivo,Adulto Joven (25-34)
465,2026-02-23,13:46:56,18 - 24 Años,Femenino,Jutiapa,Otro municipio,Comerciante,Varias Veces Al Mes,Aplicación de delivery,Amigos,Q25 - Q50,ChocoKick Bites; Mundialitos Queso Picante; CrunchMax BBQ,Queso,Tamaño Fiesta O Reunión,Q10 - Q15,Sí,Sí,México,Definitivamente sí,Francia,Neymar Jr.; Cristiano Ronaldo; Lionel Messi,Un jugador famoso,Descuento directo,No,Edición Mundial Fifa 2026,Moderada,Espectador Pasivo,Jóvenes (<25)
466,2026-01-14,17:10:29,35 - 44 Años,Femenino,Escuintla,Palín,Empleado Privado,Rara Vez,Supermercado,Amigos,Q101 - Q150,Fan Chips Jalapeño; CrunchMax BBQ; Gol Nachos Supreme,Picante Chapín,Para Compartir Entre 2 Personas,Q10 - Q15,Sí,No,México,Definitivamente sí,Brasil,Vinícius Júnior; Lamine Yamal; Cristiano Ronaldo,Un jugador famoso,2x1,Sí,Edición Brasil,Moderada,Espectador Pasivo,Adulto Maduro (35-54)
467,2026-04-25,08:35:40,18 - 24 Años,Femenino,Guatemala,Santa Catarina Pinula,Empleado Privado,1 A 2 Veces Por Semana,Tienda de barrio,Amigos,Q25 - Q50,Gol Nachos Supreme; Fan Chips Jalapeño,Salado Tradicional,Individual,Menos De Q10,Sí,Sí,Argentina,Probablemente sí,Brasil,Neymar Jr.,Una selección nacional,Tarjetas coleccionables,Sí,Edición Brasil,Moderada,Fanático Target (Alto),Jóvenes (<25)
468,2026-04-11,13:20:29,45 - 54 Años,Masculino,Quetzaltenango,Coatepeque,Otro,Varias Veces Al Mes,Tienda de barrio,Amigos,Q25 - Q50,Mundialitos Queso Picante; Energy Crunch Protein,Barbacoa,Familiar,Q21 - Q30,Sí,Sí,Argentina,Tal vez,Colombia,Lamine Yamal; Lionel Messi; Cristiano Ronaldo,Un jugador famoso,2x1,Sí,Edición Con Jugadores Famosos,Moderada,Casual,Adulto Maduro (35-54)
469,2026-01-10,08:09:02,25 - 34 Años,Femenino,Chimaltenango,Tecpán Guatemala,Otro,3 A 5 Veces Por Semana,Aplicación de delivery,Amigos,Menos De Q25,Victory Pretzels; CrunchMax BBQ; FutbolMix,Barbacoa,Individual,Q16 - Q20,Sí,Sí,España,Definitivamente no,Argentina,Kylian Mbappé; Lionel Messi,Premios y sorteos,Sorteo de viajes,No,Edición Con Jugadores Famosos,Moderada,Espectador Pasivo,Adulto Joven (25-34)
470,2026-04-23,09:33:19,18 - 24 Años,Masculino,Chimaltenango,Chimaltenango,Ama De Casa,Varias Veces Al Mes,Kiosco escolar/universitario,Amigos,Q25 - Q50,ChocoKick Bites; Caramel Goal Popcorn; Hot Stadium Peanuts,Picante Chapín,Para Compartir Entre 2 Personas,Q21 - Q30,No,Sí,Inglaterra,Probablemente sí,México,Kylian Mbappé,Historias de aficionados,Producto gratis,Sí,Edición Brasil,Moderada,Fanático Target (Alto),Jóvenes (<25)
471,2026-03-20,13:55:07,25 - 34 Años,Femenino,Guatemala,Mixco,Estudiante,Todos Los Días,Tienda de barrio,Familia,Q51 - Q100,Mundialitos Queso Picante; ChocoKick Bites,Queso,Individual,Q10 - Q15,Sí,No,Portugal,Definitivamente no,México,Alphonso Davies,Un jugador famoso,Descuento directo,Sí,Edición Mundial Fifa 2026,Premium Alta,Espectador Pasivo,Adulto Joven (25-34)
472,2026-01-23,07:17:00,18 - 24 Años,Masculino,Guatemala,Mixco,Estudiante,Varias Veces Al Mes,Tienda de barrio,Familia,Q25 - Q50,Hot Stadium Peanuts,Jalapeño,Familiar,Menos De Q10,No,Sí,Argentina,Definitivamente no,Argentina,Jude Bellingham,Un jugador famoso,2x1,No,Edición Con Tarjetas Coleccionables,Moderada,Espectador Pasivo,Jóvenes (<25)
473,2026-02-17,08:12:17,25 - 34 Años,Femenino,Zacapa,Otro municipio,Comerciante,1 A 2 Veces Por Semana,Tienda de barrio,Amigos,Q25 - Q50,Fan Chips Jalapeño,Jalapeño,Familiar,Q10 - Q15,No,Sí,Francia,Probablemente sí,Argentina,Julián Álvarez; Christian Pulisic,Premios y sorteos,Sorteo de balones,Sí,Edición Mundial Fifa 2026,Moderada,Fanático Target (Alto),Adulto Joven (25-34)
2439,2026-02-17,19:27:22,18 - 24 Años,Femenino,Guatemala,Mixco,Estudiante,3 A 5 Veces Por Semana,Otro,Familia,Más De Q150,CrunchMax BBQ; Hot Stadium Peanuts,Dulce,Familiar,Q16 - Q20,Sí,Sí,México,Probablemente sí,Brasil,Kylian Mbappé,Una selección nacional,Sorteo de balones,Sí,Edición Francia,Moderada,Fanático Target (Alto),Jóvenes (<25)
475,2026-04-21,09:50:56,Menos De 18 Años,Masculino,Quetzaltenango,Coatepeque,Empleado Privado,3 A 5 Veces Por Semana,Aplicación de delivery,Amigos,Q51 - Q100,FutbolMix,Chocolate,Tamaño Fiesta O Reunión,Q16 - Q20,No,Sí,Portugal,Tal vez,Francia,Harry Kane; Lionel Messi,Un jugador famoso,Descuento directo,Sí,Edición España,Moderada,Casual,Jóvenes (<25)
476,2026-01-26,17:08:02,25 - 34 Años,Masculino,Guatemala,Santa Catarina Pinula,Estudiante,1 A 2 Veces Por Semana,Kiosco escolar/universitario,Familia,Q51 - Q100,Gol Nachos Supreme; Fan Chips Jalapeño; CrunchMax BBQ,Queso,Tamaño Fiesta O Reunión,Q10 - Q15,Sí,Sí,Portugal,Probablemente sí,Uruguay,Vinícius Júnior,Una selección nacional,Descuento directo,No,Edición Mundial Fifa 2026,Premium Alta,Casual,Adulto Joven (25-34)
477,2026-03-22,07:59:50,35 - 44 Años,Femenino,Guatemala,Guatemala,Profesional Independiente,1 A 2 Veces Por Semana,Supermercado,Amigos,Q25 - Q50,FutbolMix,Salado Tradicional,Individual,Q16 - Q20,Sí,No,Brasil,Probablemente no, INGLATERRA ,Kylian Mbappé; Neymar Jr.,Premios y sorteos,Descuento directo,Sí,Edición Con Tarjetas Coleccionables,Moderada,Espectador Pasivo,Adulto Maduro (35-54)
478,2026-01-23,14:40:00,35 - 44 Años,Femenino,Guatemala,Santa Catarina Pinula,Estudiante,Varias Veces Al Mes,Supermercado,Amigos,Q101 - Q150,FutbolMix; Energy Crunch Protein,Salado Tradicional,Familiar,Q16 - Q20,No,Sí,Brasil,Tal vez,Francia,Neymar Jr.; Lionel Messi,Historias de aficionados,Tarjetas coleccionables,Sí,Edición Mundial Fifa 2026,Sensible Al Precio,Casual,Adulto Maduro (35-54)
479,2026-04-25,10:23:41,35 - 44 Años,Masculino,Totonicapán,Cabecera municipal,Profesional Independiente,Todos Los Días,Supermercado,Compañeros de trabajo,Q51 - Q100,ChocoKick Bites; Fan Chips Jalapeño; Mundialitos Queso Picante,Picante Chapín,Familiar,Q21 - Q30,Sí,Sí,Haití,Probablemente no,Argentina,Rodri,Premios y sorteos,Producto gratis,No,Edición Con Tarjetas Coleccionables,Premium Alta,Espectador Pasivo,Adulto Maduro (35-54)
480,2026-05-03,14:50:39,18 - 24 Años,Femenino,Santa Rosa,Santa Rosa,Empleado Público,Varias Veces Al Mes,Tienda de barrio,Amigos,Menos De Q25,Caramel Goal Popcorn; ChocoKick Bites; Gol Nachos Supreme,Limón,Individual,Q16 - Q20,No,Sí,Argentina,Definitivamente sí,Portugal,Kylian Mbappé; Julián Álvarez; Cristiano Ronaldo,Un jugador famoso,Sorteo de camisetas,Sí,Edición Con Tarjetas Coleccionables,Sensible Al Precio,Casual,Jóvenes (<25)
481,2026-05-02,20:31:44,25 - 34 Años,Masculino,Guatemala,Santa Catarina Pinula,Empresario,1 A 2 Veces Por Semana,Supermercado,Solo,Menos De Q25,Fan Chips Jalapeño; CrunchMax BBQ,Jalapeño,Individual,Q10 - Q15,Sí,Sí,Alemania,Probablemente sí, MÉXICO ,Kylian Mbappé; Cristiano Ronaldo,Premios y sorteos,Tarjetas coleccionables,Sí,Edición Con Tarjetas Coleccionables,Moderada,Fanático Target (Alto),Adulto Joven (25-34)
482,2026-03-18,17:23:19,25 - 34 Años,Masculino,Guatemala,Santa Catarina Pinula,Empleado Privado,3 A 5 Veces Por Semana,Gasolinera,Solo,Q25 - Q50,ChocoKick Bites; Caramel Goal Popcorn,Queso,Familiar,Q21 - Q30,Sí,No,Argentina,Definitivamente sí,Francia,Vinícius Júnior; Alphonso Davies; Neymar Jr.,Historias de aficionados,Producto gratis,Sí,Edición Argentina,Moderada,Espectador Pasivo,Adulto Joven (25-34)
483,2026-03-15,19:15:36,25 - 34 Años,Femenino,Izabal,Izabal,Empleado Privado,3 A 5 Veces Por Semana,Aplicación de delivery,Solo,Menos De Q25,Fan Chips Jalapeño; CrunchMax BBQ; Victory Pretzels,Salado Tradicional,Para Compartir Entre 2 Personas,Q16 - Q20,Sí,Sí, BRASIL ,Tal vez,España,Neymar Jr.; Cristiano Ronaldo,Historias de aficionados,Sorteo de balones,Sí,Edición Mundial Fifa 2026,Moderada,Casual,Adulto Joven (25-34)
484,2026-01-23,18:05:31,55 Años O Más,Femenino,El Progreso,Otro municipio,Empleado Privado,1 A 2 Veces Por Semana,Gasolinera,Solo,Menos De Q25,CrunchMax BBQ; Hot Stadium Peanuts; Mundialitos Queso Picante,Chocolate,Tamaño Fiesta O Reunión,Q21 - Q30,Sí,Sí,Argentina,Probablemente sí,Brasil,Cristiano Ronaldo,Una selección nacional,2x1,No,Edición Con Tarjetas Coleccionables,Moderada,Casual,Adulto Mayor (55+)
485,2026-05-02,22:13:49,45 - 54 Años,Femenino,Guatemala,Mixco,Empleado Privado,1 A 2 Veces Por Semana,Tienda de barrio,Amigos,Q51 - Q100,Gol Nachos Supreme; FutbolMix,Limón,Individual,Q21 - Q30,Sí,Sí,Alemania,Tal vez,Egipto,Lionel Messi,Premios y sorteos,2x1,Sí,Edición España,Premium Alta,Casual,Adulto Maduro (35-54)
486,2026-04-17,09:12:57,25 - 34 Años,Masculino,Guatemala,Guatemala,Estudiante,Rara Vez,Tienda de barrio,Compañeros de trabajo,Q25 - Q50,Gol Nachos Supreme; Caramel Goal Popcorn; ChocoKick Bites,Limón,Individual,Q21 - Q30,No,Sí,Francia,Definitivamente sí,Francia,Kylian Mbappé,Humor,Descuento directo,No,Edición Con Jugadores Famosos,Moderada,Espectador Pasivo,Adulto Joven (25-34)
487,2026-05-03,07:17:26,18 - 24 Años,Masculino,Jalapa,Jalapa,Empleado Privado,1 A 2 Veces Por Semana,Supermercado,Familia,Q51 - Q100,CrunchMax BBQ; Mundialitos Queso Picante; ChocoKick Bites,Dulce,Para Compartir Entre 2 Personas,Menos De Q10,Sí,Sí,Brasil,Probablemente sí,Congo DR,Lionel Messi; Cristiano Ronaldo; Vinícius Júnior,Un jugador famoso,Sorteo de camisetas,No,Edición Mundial Fifa 2026,Premium Alta,Casual,Jóvenes (<25)
488,2026-05-09,09:50:21,45 - 54 Años,Femenino,Guatemala,San Miguel Petapa,Estudiante,Todos Los Días,Tienda de barrio,Familia,Q101 - Q150,FutbolMix; Mundialitos Queso Picante,Picante Chapín,Familiar,Q10 - Q15,No,Sí,Alemania,Probablemente sí,Brasil,Vinícius Júnior,Humor,Sorteo de viajes,Sí,Edición Argentina,Sensible Al Precio,Fanático Target (Alto),Adulto Maduro (35-54)
489,2026-05-02,19:13:14,18 - 24 Años,Masculino,Jalapa,Cabecera municipal,Empleado Privado,3 A 5 Veces Por Semana,Tienda de barrio,Familia,Más De Q150,Energy Crunch Protein; Caramel Goal Popcorn,Chocolate,Tamaño Fiesta O Reunión,Q21 - Q30,No,Sí,Inglaterra,Probablemente sí,México,Vinícius Júnior,Humor,Sorteo de camisetas,Sí,Edición Con Tarjetas Coleccionables,Sensible Al Precio,Fanático Target (Alto),Jóvenes (<25)
490,2026-03-04,15:42:53,55 Años O Más,Prefiero No Indicarlo,Chimaltenango,Patzún,Empleado Privado,3 A 5 Veces Por Semana,Gasolinera,Familia,Menos De Q25,Caramel Goal Popcorn; ChocoKick Bites; FutbolMix,Queso,Familiar,Q21 - Q30,Sí,Sí,Brasil,Tal vez,Brasil,Lamine Yamal; Harry Kane,Un jugador famoso,Descuento directo,Sí,Edición Francia,Moderada,Casual,Adulto Mayor (55+)
491,2026-02-17,13:56:41,18 - 24 Años,Femenino,Guatemala,Villa Nueva,Profesional Independiente,Rara Vez,Supermercado,Familia,Q101 - Q150,Victory Pretzels; Fan Chips Jalapeño,Chocolate,Individual,Q10 - Q15,Sí,Sí,Inglaterra,Definitivamente sí,Argentina,Cristiano Ronaldo,Una selección nacional,2x1,Sí,Edición Francia,Moderada,Casual,Jóvenes (<25)
492,2026-02-15,14:10:54,45 - 54 Años,Masculino,Guatemala,Guatemala,Empleado Privado,1 A 2 Veces Por Semana,Aplicación de delivery,Amigos,Más De Q150,FutbolMix; CrunchMax BBQ,Picante Chapín,Familiar,Q16 - Q20,Sí,Sí,Estados Unidos,Definitivamente sí,Argentina,Julián Álvarez; Ninguno,Una selección nacional,Sorteo de viajes,Sí,Edición Con Jugadores Famosos,Moderada,Casual,Adulto Maduro (35-54)
